genome	kingdom	phylum	class	order	family	genus	species
1236970.SAMD00000475	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_07522
1236971.SAMD00000476	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_07523
1236973.SAMD00000477	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_07524
1236974.SAMD00000412	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	specI_v3_07525
1236976.SAMD00000453	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	specI_v3_07526
1236979.SAMD00000450	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	1970189 Marinilabiliales	1573805 Marinifilaceae	866673 Marinifilum	specI_v3_07527
1236989.SAMD00000449	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	1970189 Marinilabiliales	558415 Marinilabiliaceae	1236988 Geofilum	specI_v3_07528
1237085.SAMN02603264	2157 Archaea	651137 Thaumarchaeota	1643678 Nitrososphaeria	1033996 Nitrososphaerales	1033997 Nitrososphaeraceae	497726 Nitrososphaera	specI_v3_07529
1237149.SAMN02469986	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	200667 Flammeovirgaceae	396811 Fulvivirga	specI_v3_07530
1237500.SAMN02472158	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	2013 Nocardiopsis	specI_v3_03083
1238.SAMN04309076	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72273 Thiotrichales	135616 Piscirickettsiaceae	1237 Piscirickettsia	specI_v3_03399
1238182.SAMN01840338	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	41295 Rhodospirillaceae	414051 Caenispirillum	specI_v3_07531
1238186.SAMN02470216	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	55968 Leucobacter	specI_v3_07532
1238190.SAMN02470210	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	28256 Halomonadaceae	2745 Halomonas	specI_v3_07533
123822.SAMN06308729	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	NA Pasteurellaceae gen. incertae sedis	specI_v3_07534
1238237.SAMN01831300	2 Bacteria	204428 Chlamydiae	204429 Chlamydiia	51291 Chlamydiales	809 Chlamydiaceae	810 Chlamydia	specI_v3_01344
1238424.SAMN01940911	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	1644055 Haloferacales	1644056 Haloferacaceae	293431 Haloquadratum	specI_v3_07535
1238425.SAMN01940911	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	1644055 Haloferacales	1644056 Haloferacaceae	293431 Haloquadratum	specI_v3_07536
1238426.SAMN01940911	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	1644055 Haloferacales	1644056 Haloferacaceae	293431 Haloquadratum	specI_v3_07537
123899.SAMEA3906487	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	517 Bordetella	specI_v3_00552
1239415.SAMN02469890	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	326319 Dokdonia	specI_v3_03513
1239962.SAMN02469987	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	563798 Cyclobacteriaceae	1245590 Mariniradius	specI_v3_07538
1240085.SAMN06754794	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843491 Selenomonadaceae	82373 Anaerovibrio	specI_v3_02121
1241906.SAMN01942134	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	85026 Gordoniaceae	2053 Gordonia	specI_v3_03325
1242245.SAMN03268929	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	469 Acinetobacter	specI_v3_01346
1242992.SAMN01801603	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643688 Leptospirales	170 Leptospiraceae	171 Leptospira	specI_v3_07539
1242993.SAMEA2795788	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	766 Rickettsiales	942 Anaplasmataceae	943 Ehrlichia	specI_v3_03525
1243604.SAMN03470772	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	590 Salmonella	specI_v3_00099
1243662.SAMEA3138837	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	specI_v3_07540
1243664.PRJEB623	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_07541
1244083.SAMN01806160	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	specI_v3_01582
1244108.SAMN05444004	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	188905 Jannaschia	specI_v3_07542
1244529.SAMN03366410	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	specI_v3_01800
1244531.SAMN03378131	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	specI_v3_03527
1244869.SAMN02469417	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	41295 Rhodospirillaceae	13134 Magnetospirillum	specI_v3_03530
1245.SAMN04198570	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81850 Leuconostocaceae	1243 Leuconostoc	specI_v3_01924
1245469.SAMD00061052	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	specI_v3_02668
1245471.SAMD00061053	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_02416
1245475.SAMN02472147	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	2013 Nocardiopsis	specI_v3_03082
1245526.SAMN05216580	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_02589
1245910.SAMN03166165	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	136 Spirochaetales	1643685 Borreliaceae	64895 Borreliella	specI_v3_07543
1246.SAMN05300424	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81850 Leuconostocaceae	1243 Leuconostoc	specI_v3_03533
1246445.SAMN02472160	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	2013 Nocardiopsis	specI_v3_03534
1246448.SAMN02472148	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	2013 Nocardiopsis	specI_v3_03084
1246461.SAMN02472156	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	2013 Nocardiopsis	specI_v3_03086
1246474.SAMN02472150	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	2013 Nocardiopsis	specI_v3_03535
1246485.SAMN02472151	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	2013 Nocardiopsis	specI_v3_03536
1246626.SAMN03081443	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_03541
1246637.SAMEA100367668	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	1246635 Desulfamplus	specI_v3_07544
1246955.SAMEA2272626	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	specI_v3_07545
1246995.SAMN02603031	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85008 Micromonosporales	28056 Micromonosporaceae	1865 Actinoplanes	specI_v3_07546
1247514.SAMN03253145	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135614 Xanthomonadales	32033 Xanthomonadaceae	83614 Luteimonas	specI_v3_07547
1247726.SAMN02641504	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	290425 Advenella	specI_v3_01104
1247936.SAMEA3512853	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	1822464 Paraburkholderia	specI_v3_02857
1247963.SAMN02905868	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	255473 Parvularculales	255474 Parvularculaceae	208215 Parvularcula	specI_v3_07548
1248727.SAMD00061055	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	specI_v3_07549
1248760.SAMN02470020	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	150203 Blastomonas	specI_v3_03543
1248916.SAMN02470018	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	362865 Sandarakinorhabdus	specI_v3_07550
1248917.SAMN02470019	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	335929 Erythrobacteraceae	1111 Porphyrobacter	specI_v3_03547
1249101.SAMN06064236	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1866885 Mycolicibacterium	specI_v3_03548
1249480.SAMN01162293	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	286130 Sulfuricurvum	specI_v3_03551
1249481.SAMN01922053	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85020 Dermabacteraceae	43668 Brachybacterium	specI_v3_07551
1249483.SAMN02436394	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643688 Leptospirales	170 Leptospiraceae	171 Leptospira	specI_v3_07552
1249552.SAMN04260401	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	1524249 Pseudohongiella	specI_v3_07553
1249627.SAMN02951921	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135613 Chromatiales	1046 Chromatiaceae	2018671 Imhoffiella	specI_v3_07554
1249933.SAMN04489797	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	286104 Winogradskyella	specI_v3_07555
1249972.SAMN02841239	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	104264 Cellulophaga	specI_v3_07556
1249999.SAMN03351825	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	291183 Lacinutrix	specI_v3_07557
1250004.SAMN02841244	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	49277 Psychroserpens	specI_v3_07558
1250005.SAMN02867807	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	52959 Polaribacter	specI_v3_07559
1250006.SAMN02743899	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	52959 Polaribacter	specI_v3_03556
1250059.SAMN04489761	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	104267 Tenacibaculum	specI_v3_07560
1250198.SAMN04487765	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	104267 Tenacibaculum	specI_v3_07561
1250205.SAMN04488553	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	292691 Gramella	specI_v3_07562
1250231.SAMN04488552	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	292691 Gramella	specI_v3_02267
1250232.SAMN02799619	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	111500 Muricauda	specI_v3_07563
1250278.SAMN02799644	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	143222 Salegentibacter	specI_v3_03563
1250295.SAMN03097699	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	NA Flavobacteriaceae gen. incertae sedis	specI_v3_07564
1250539.SAMN04562614	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	360528 Pelagibaca	specI_v3_07565
1254.SAMN04515708	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1253 Pediococcus	specI_v3_00720
1254432.SAMN02603858	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	29 Myxococcales	49 Polyangiaceae	39643 Sorangium	specI_v3_03565
1255043.SAMN02602962	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135613 Chromatiales	72276 Ectothiorhodospiraceae	106633 Thioalkalivibrio	specI_v3_07566
1255277.SAMD00046313	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186823 Alicyclobacillaceae	29330 Alicyclobacillus	specI_v3_07567
1255658.SAMEA81150418	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	31957 Propionibacteriaceae	33983 Luteococcus	specI_v3_07568
125593.SAMN04092459	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	766 Rickettsiales	942 Anaplasmataceae	953 Wolbachia	specI_v3_02025
1256989.SAMN02641580	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903414 Morganellaceae	586 Providencia	specI_v3_02630
1257021.SAMN05771114	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	200667 Flammeovirgaceae	NA Flammeovirgaceae gen. incertae sedis	specI_v3_07569
1257025.SAMN02436484	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643688 Leptospirales	170 Leptospiraceae	171 Leptospira	specI_v3_07570
1259795.SAMN02440465	2 Bacteria	2138240 Coprothermobacterota	2138243 Coprothermobacteria	2138246 Coprothermobacterales	2138247 Coprothermobacteraceae	68335 Coprothermobacter	specI_v3_07571
1260251.SAMN02603230	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135613 Chromatiales	72276 Ectothiorhodospiraceae	1335745 Spiribacter	specI_v3_07572
1260356.SAMN02436837	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	81852 Enterococcaceae	1350 Enterococcus	specI_v3_07573
1260918.SAMN04216927	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1763 Mycobacterium	specI_v3_07574
1261.SAMN03854410	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186804 Peptostreptococcaceae	1257 Peptostreptococcus	specI_v3_01077
1261131.SAMN02604175	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	34019 Liberibacter	specI_v3_03579
126156.SAMN05421670	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1221880 Psychrobacillus	specI_v3_03582
126157.SAMN05421832	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1221880 Psychrobacillus	specI_v3_03580
1261617.SAMN02441676	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	75682 Oxalobacteraceae	75654 Duganella	specI_v3_00521
1261621.SAMN02441344	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206389 Rhodocyclales	2008794 Zoogloeaceae	12960 Azoarcus	specI_v3_03583
1261634.SAMN05726914	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	841 Roseburia	specI_v3_07576
1261635.SAMN05726915	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	841 Roseburia	specI_v3_07577
1261636.SAMN05726913	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	207244 Anaerostipes	specI_v3_07578
1261637.SAMN05726911	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	207244 Anaerostipes	specI_v3_07579
1261640.SAMN05726916	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186806 Eubacteriaceae	1730 Eubacterium	specI_v3_07580
1262470.SAMN03010392	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	75682 Oxalobacteraceae	963 Herbaspirillum	specI_v3_00422
1262585.SAMN05846377	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	469 Acinetobacter	specI_v3_07581
1262685.PRJEB1044	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	434 Acetobacter	specI_v3_07582
1262686.PRJEB1026	2 Bacteria	544448 Tenericutes	31969 Mollicutes	186329 Acholeplasmatales	2146 Acholeplasmataceae	2147 Acholeplasma	specI_v3_07583
1262687.PRJEB925	2 Bacteria	1239 Firmicutes	909932 Negativicutes	1843488 Acidaminococcales	909930 Acidaminococcaceae	904 Acidaminococcus	specI_v3_03589
1262688.PRJEB1034	2 Bacteria	1239 Firmicutes	909932 Negativicutes	1843488 Acidaminococcales	909930 Acidaminococcaceae	904 Acidaminococcus	specI_v3_07584
1262689.PRJEB991	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	522 Acidiphilium	specI_v3_07585
1262691.PRJEB840	2 Bacteria	74201 Verrucomicrobia	203494 Verrucomicrobiae	48461 Verrucomicrobiales	1647988 Akkermansiaceae	239934 Akkermansia	specI_v3_03592
1262693.PRJEB800	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171550 Rikenellaceae	239759 Alistipes	specI_v3_07586
1262695.PRJEB879	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171550 Rikenellaceae	239759 Alistipes	specI_v3_07587
1262696.PRJEB913	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171550 Rikenellaceae	239759 Alistipes	specI_v3_07588
1262698.PRJEB1020	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171550 Rikenellaceae	239759 Alistipes	specI_v3_07589
1262700.PRJEB919	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	244127 Anaerotruncus	specI_v3_07590
1262703.PRJEB864	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	541000 Ruminococcaceae	244127 Anaerotruncus	specI_v3_07591
1262705.PRJEB778	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	41295 Rhodospirillaceae	191 Azospirillum	specI_v3_07592
1262708.PRJEB1046	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_07593
1262734.PRJEB683	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07594
1262736.PRJEB720	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07595
1262740.PRJEB890	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07596
1262742.PRJEB926	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07597
1262747.PRJEB983	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07598
1262748.PRJEB984	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07599
1262751.PRJEB1001	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07600
1262753.PRJEB1037	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	815 Bacteroidaceae	816 Bacteroides	specI_v3_07601
1262756.PRJEB792	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	572511 Blautia	specI_v3_07602
1262758.PRJEB914	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	572511 Blautia	specI_v3_03597
1262759.PRJEB900	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643686 Brachyspirales	143786 Brachyspiraceae	29521 Brachyspira	specI_v3_07603
1262760.PRJEB982	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643686 Brachyspirales	143786 Brachyspiraceae	29521 Brachyspira	specI_v3_07604
1262761.PRJEB830	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	830 Butyrivibrio	specI_v3_07605
1262767.PRJEB815	2 Bacteria	1239 Firmicutes	526524 Erysipelotrichia	526525 Erysipelotrichales	128827 Erysipelotrichaceae	135858 Catenibacterium	specI_v3_00854
1262768.PRJEB675	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07606
1262770.PRJEB678	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07608
1262771.PRJEB699	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07609
1262772.PRJEB702	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07610
1262774.PRJEB706	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07611
1262775.PRJEB715	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07612
1262777.PRJEB736	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07613
1262778.PRJEB737	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07614
1262779.PRJEB763	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07615
1262782.PRJEB771	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07616
1262784.PRJEB783	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_03604
1262785.PRJEB789	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_03600
1262789.PRJEB805	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07617
1262791.PRJEB812	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07618
1262792.PRJEB817	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07619
1262793.PRJEB819	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07620
1262796.PRJEB839	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07621
1262797.PRJEB843	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07622
1262799.PRJEB847	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_03612
1262800.PRJEB848	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_03613
1262801.PRJEB862	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_03615
1262802.PRJEB872	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07623
1262803.PRJEB873	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07624
1262804.PRJEB874	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07625
1262805.PRJEB877	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07626
1262806.PRJEB878	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07627
1262807.PRJEB882	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07628
1262808.PRJEB884	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07629
1262809.PRJEB887	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07630
1262810.PRJEB888	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07631
1262811.PRJEB891	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_07632
