genome	kingdom	phylum	class	order	family	genus	species
626523.SAMN00008860	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	177971 Shuttleworthia	specI_v3_06398
626887.SAMN02469788	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135622 Alteromonadales	72275 Alteromonadaceae	2742 Marinobacter	specI_v3_11630
626937.SAMN04498914	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	990719 Christensenellaceae	990721 Christensenella	specI_v3_06399
626940.SAMN05717290	2 Bacteria	1239 Firmicutes	909932 Negativicutes	1843488 Acidaminococcales	909930 Acidaminococcaceae	33024 Phascolarctobacterium	specI_v3_03700
627192.SAMD00061118	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	165695 Sphingobium	specI_v3_11631
62928.SAMEA3138261	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206389 Rhodocyclales	2008794 Zoogloeaceae	12960 Azoarcus	specI_v3_06288
629680.SAMN04489751	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85019 Brevibacteriaceae	1696 Brevibacterium	specI_v3_05243
629741.SAMN00008832	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206351 Neisseriales	481 Neisseriaceae	32257 Kingella	specI_v3_11632
629773.SAMN00626992	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	13687 Sphingomonas	specI_v3_05924
630515.SAMN04489812	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	31957 Propionibacteriaceae	29404 Microlunatus	specI_v3_11633
630626.SAMN02603253	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	1335483 Shimwellia	specI_v3_06400
